,Points,Score,Weigh,Average,Median,Mode,Variance,Standard Deviation,Range ,,,
Mazda RX4,3.9,2.62,16.46,7.66,3.9,#N/A,58.4896,7.647849371,13.84,,,
Mazda RX4 Wag,3.9,2.875,17.02,7.931666667,3.9,,62.21100833,7.887395535,14.145,,,
Datsun 710,3.85,2.32,18.61,8.26,3.85,,80.9271,8.995949088,16.29,,,
Hornet 4 Drive,3.08,3.215,19.44,8.578333333,3.215,,88.48640833,9.406721444,16.36,,,
Hornet Sportabout,3.15,3.44,17.02,7.87,3.44,,62.8129,7.925458977,13.87,,,
Valiant,2.76,3.46,20.22,8.813333333,3.46,,97.70653333,9.884661518,17.46,,,
Duster 360,3.21,3.57,15.84,7.54,3.57,,51.6999,7.190264251,12.63,,,
Merc 240D,3.69,3.19,20,8.96,3.69,,91.4737,9.564188413,16.81,,,
Merc 230,3.92,3.15,22.9,9.99,3.92,,125.1493,11.18701479,19.75,,,
Merc 280,3.92,3.44,18.3,8.553333333,3.92,,71.30573333,8.44427222,14.86,,,
Merc 280C,3.92,3.44,18.9,8.753333333,3.92,,77.27373333,8.790547954,15.46,,,
Merc 450SE,3.07,4.07,17.4,8.18,4.07,,64.0063,8.00039374,14.33,,,
Merc 450SL,3.07,3.73,17.6,8.133333333,3.73,,67.32223333,8.205012696,14.53,,,
Merc 450SLC,3.07,3.78,18,8.283333333,3.78,,70.93623333,8.422365068,14.93,,,
Cadillac Fleetwood,2.93,5.25,17.98,8.72,5.25,,65.6563,8.102857521,15.05,,,
Lincoln Continental,3,5.424,17.82,8.748,5.424,,63.194832,7.949517721,14.82,,,
Chrysler Imperial,3.23,5.345,17.42,8.665,5.345,,58.605825,7.655444141,14.19,,,
Fiat 128,4.08,2.2,19.47,8.583333333,4.08,,89.77323333,9.47487379,17.27,,,
Honda Civic,4.93,1.615,18.52,8.355,4.93,,80.242725,8.957830373,16.905,,,Maximum Value: 19.75
Toyota Corolla,4.22,1.835,19.9,8.651666667,4.22,,96.31580833,9.814061765,18.065,,,Minimum Value: 11.06
Toyota Corona,3.7,2.465,20.01,8.725,3.7,,95.894725,9.792585205,17.545,,,
Dodge Challenger,2.76,3.52,16.87,7.716666667,3.52,,62.98203333,7.936122059,14.11,,,Range = Maximum Value - Minimum Value = 19.75 - 11.06 ? 8.69
AMC Javelin,3.15,3.435,17.3,7.961666667,3.435,,65.42365833,8.088489249,14.15,,,
Camaro Z28,3.73,3.84,15.41,7.66,3.84,,45.0499,6.711922228,11.68,,,"So, the range for your dataset is approximately 8.69."
Pontiac Firebird,3.08,3.845,17.05,7.991666667,3.845,,61.68635833,7.854066357,13.97,,,
Fiat X1-9,4.08,1.935,18.9,8.305,4.08,,85.340775,9.23800709,16.965,,,
Porsche 914-2,4.43,2.14,16.7,7.756666667,4.43,,61.29843333,7.829331602,14.56,,,
Lotus Europa,3.77,1.513,16.9,7.394333333,3.77,,69.04178633,8.309138724,15.387,,,
Ford Pantera L,4.22,3.17,14.5,7.296666667,4.22,,39.19163333,6.260322143,11.33,,,
Ferrari Dino,3.62,2.77,15.5,7.296666667,3.62,,50.65163333,7.116996089,12.73,,,
Maserati Bora,3.54,3.57,14.6,7.236666667,3.57,,40.66423333,6.376851365,11.06,,,
Volvo 142E,4.11,2.78,18.6,8.496666667,4.11,,77.00023333,8.774977683,15.82,,,
